"","x","val","variable"
"1",0,0.033,"0.5 s"
"2",0.1,0.033,"0.5 s"
"3",0.2,0.029,"0.5 s"
"4",0.3,0.026,"0.5 s"
"5",0.4,0.022,"0.5 s"
"6",0.5,0.026,"0.5 s"
"7",0.6,0.04,"0.5 s"
"8",0.7,0.025,"0.5 s"
"9",0.8,0.021,"0.5 s"
"10",0.9,0.014,"0.5 s"
"11",1,0.012,"0.5 s"
"12",1.1,0.004,"0.5 s"
"13",1.2,0.007,"0.5 s"
"14",1.3,0.001,"0.5 s"
"15",1.4,0.004,"0.5 s"
"16",1.5,0.002,"0.5 s"
"17",1.6,0,"0.5 s"
"18",1.7,0,"0.5 s"
"19",1.8,0,"0.5 s"
"20",1.9,0,"0.5 s"
"21",2,0,"0.5 s"
"22",0,0.101,"1 s"
"23",0.1,0.097,"1 s"
"24",0.2,0.095,"1 s"
"25",0.3,0.069,"1 s"
"26",0.4,0.087,"1 s"
"27",0.5,0.072,"1 s"
"28",0.6,0.064,"1 s"
"29",0.7,0.046,"1 s"
"30",0.8,0.03,"1 s"
"31",0.9,0.019,"1 s"
"32",1,0.012,"1 s"
"33",1.1,0.011,"1 s"
"34",1.2,0.005,"1 s"
"35",1.3,0.002,"1 s"
"36",1.4,0.004,"1 s"
"37",1.5,0.002,"1 s"
"38",1.6,0.001,"1 s"
"39",1.7,0.002,"1 s"
"40",1.8,0.001,"1 s"
"41",1.9,0,"1 s"
"42",2,0,"1 s"
"43",0,0.157,"1.5 s"
"44",0.1,0.136,"1.5 s"
"45",0.2,0.138,"1.5 s"
"46",0.3,0.121,"1.5 s"
"47",0.4,0.118,"1.5 s"
"48",0.5,0.107,"1.5 s"
"49",0.6,0.075,"1.5 s"
"50",0.7,0.043,"1.5 s"
"51",0.8,0.042,"1.5 s"
"52",0.9,0.021,"1.5 s"
"53",1,0.011,"1.5 s"
"54",1.1,0.009,"1.5 s"
"55",1.2,0.006,"1.5 s"
"56",1.3,0.005,"1.5 s"
"57",1.4,0.003,"1.5 s"
"58",1.5,0.002,"1.5 s"
"59",1.6,0.001,"1.5 s"
"60",1.7,0.001,"1.5 s"
"61",1.8,0.001,"1.5 s"
"62",1.9,0.001,"1.5 s"
"63",2,0,"1.5 s"
